,b_loc,b_price_kr,b_sale_rslt,b_sale_date,ant_rum,kvm_kr_m2,kv_m
164,Kapellgårdsgatan 3,5000000,-1.0,2022-01-14,5,32100,156
165,Högklintsvägen 14,6900000,20.0,2022-01-14,-1,36300,190
166,Sveagatan 13,5400000,-1.0,2022-01-14,-1,30000,180
167,Stenbocksvägen 18,6500000,-1.0,2022-01-14,-1,30400,214
168,Segerstorpsvägen 40,4950000,-1.0,2022-01-14,-1,31700,156
169,Pilvägen 6,2560000,-1.0,2022-01-11,-1,34100,75
170,Berg Högsböla 1,5100000,13.3,2022-01-10,-1,23200,220
171,Alvägen 4,2350000,42.9,2022-01-10,-1,22600,104
172,Ringstigen 11,2500000,0.2,2022-01-10,-1,27800,90
173,Vristulven Sjöberga,950000,0.0,2022-01-07,6,7600,125
174,Åkleby Gård,2600000,8.6,2022-01-07,-1,18800,138
