,b_loc,b_size,b_price,b_pr_m2,b_sale_rslt,b_sale_date
164,Kapellgårdsgatan 3,"5 rum, 156 m²",5 000 000 kr,32 100 kr/m²,-01,2022-01-14
165,Högklintsvägen 14,"None, 190 m²",6 900 000 kr,36 300 kr/m²,20,2022-01-14
166,Sveagatan 13,"None, 180 m²",5 400 000 kr,30 000 kr/m²,-01,2022-01-14
167,Stenbocksvägen 18,"None, 214 m²",6 500 000 kr,30 400 kr/m²,-01,2022-01-14
168,Segerstorpsvägen 40,"None, 156 m²",4 950 000 kr,31 700 kr/m²,-01,2022-01-14
169,Pilvägen 6,"None, 75 m²",2 560 000 kr,34 100 kr/m²,-01,2022-01-11
170,Berg Högsböla 1,"None, 220 m²",5 100 000 kr,23 200 kr/m²,13.3,2022-01-10
171,Alvägen 4,"None, 104 m²",2 350 000 kr,22 600 kr/m²,42.9,2022-01-10
172,Ringstigen 11,"None, 90 m²",2 500 000 kr,27 800 kr/m²,0.2,2022-01-10
173,Vristulven Sjöberga,"6 rum, 125 m²",950 000 kr,7 600 kr/m²,0,2022-01-07
174,Åkleby Gård,"None, 138 m²",2 600 000 kr,18 800 kr/m²,8.6,2022-01-07
